frame_no,A1_x,A1_y,A1_confidence,A2_x,A2_y,A2_confidence
1048,1507,408,0.8276271820068359,442,406,0.8168757557868958
1049,1545,410,0.8053542971611023,441,406,0.4
1050,1541,413,0.4,373,410,0.6348319607336612
1051,1541,413,0.3,372,409,0.4
1052,1666,421,0.8334436416625977,311,437,0.658792560873543
1053,1710,426,0.6688954830169678,310,437,0.4
1054,1755,432,0.8323338031768799,207,430,0.8320464491844177
1055,1755,428,0.4,161,436,0.8388252258300781
1056,1795,434,0.7114959615650317,113,442,0.4
1057,1873,448,0.81476257810559,62,451,0.8557973504066467
1161,1763,372,0.8161921501159668,117,288,0.8006155490875244
1162,1713,375,0.7938171625137329,116,288,0.4
1163,1667,378,0.6177759170532227,116,288,0.3
1164,1622,381,0.8009806871414185,348,308,0.8567474484443665
1165,1578,385,0.8378750681877136,414,313,0.8341430425643921
1166,1540,388,0.5955636501312256,471,319,0.519464910030365
1167,1539,388,0.4,471,319,0.4
1168,1539,388,0.3,584,334,0.8516761660575867
1169,1539,388,0.2,634,337,0.779533326625824
1170,1400,404,0.7307498455047607,548,329,0.4
1171,1399,404,0.4,548,329,0.3
1172,1399,404,0.3,761,359,0.7907808423042297
1203,830,576,0.7165795723721337,1426,578,0.3
1204,821,582,0.7256046329210497,1426,578,0.2
1205,812,588,0.7546169289326092,1426,578,0.2
1290,1600,167,0.4,117,319,0.4880257844924927
1291,1600,167,0.3,78,322,0.7635704874992371
1292,1217,510,0.6504563104738691,78,322,0.4
1293,1224,507,0.741141639568941,78,322,0.3
1294,1231,504,0.6288121515433458,78,322,0.2
1295,1238,501,0.6737651151184011,78,322,0.2
1296,1244,498,0.7964953919549048,78,322,0.2
1297,1249,494,0.4,78,322,0.2
1298,1258,492,0.6251822832777502,78,322,0.2
1299,1265,489,0.7964953919549048,78,322,0.2
1300,1270,486,0.4,78,322,0.2
1301,1276,483,0.3,78,322,0.2
1411,1793,409,0.8543787002563477,283,451,0.3857709467411041
1412,1730,425,0.8024829626083374,284,454,0.4
1418,1465,498,0.7486438803823434,486,503,0.8332117199897766
1419,1427,510,0.7695098470989923,490,503,0.4
1420,1385,527,0.8559775948524475,533,518,0.6649990920263368
1421,1857,501,0.5978995561599731,565,527,0.7648739218711853
1422,1326,547,0.7862783074378967,564,527,0.4
1433,1099,649,0.7829315191403073,833,636,0.6664853611069185
1434,1084,658,0.7298400636948805,853,646,0.7401169535179237
1520,1456,403,0.4,437,365,0.6454157829284668
1521,1456,403,0.3,395,362,0.8380325436592102
1522,1456,403,0.2,353,360,0.8449075222015381
1523,1456,403,0.2,307,357,0.8356382250785828
1524,1456,403,0.2,259,356,0.8372892737388611
1525,1659,388,0.5017409324645996,209,354,0.7975722551345825
1526,1697,388,0.7242199182510376,209,354,0.4
1527,1736,386,0.8070696592330933,209,354,0.3
1528,1778,385,0.8026478886604309,51,353,0.5211696624755859
1529,1822,385,0.799939751625061,50,353,0.4
1530,1866,385,0.8342494964599609,50,353,0.3
1531,1908,384,0.7117370367050171,50,353,0.2
1557,1878,454,0.7161389589309692,857,205,0.2
1558,1889,454,0.4,857,205,0.2
1559,1889,454,0.3,857,205,0.2
1560,1889,454,0.2,857,205,0.2
1561,1889,454,0.2,857,205,0.2
1636,1888,473,0.7345018982887268,150,479,0.7189280986785889
1637,1813,479,0.8598098754882812,220,483,0.7439166903495789
1638,1741,483,0.8544808626174927,219,483,0.4
1639,1754,475,0.4,219,483,0.3
1640,1754,475,0.3,219,483,0.2
1641,1552,500,0.8374247550964355,446,500,0.6433759331703186
1642,1498,506,0.8596177101135254,497,503,0.8269669085816331
1643,1447,511,0.4,534,509,0.4397749602794647
1644,1447,511,0.3,534,508,0.4
1645,1354,524,0.8552461862564087,534,508,0.3
1646,1329,527,0.7677726792717166,653,523,0.5752363801002502
1647,1268,525,0.4,687,529,0.7045960426330566
1648,1268,525,0.3,687,528,0.4
