frame_no,A1_x,A1_y,A1_confidence,A2_x,A2_y,A2_confidence,position_3d_pixels,A1_reprojected_point,A1_error_cm,A2_reprojected_point,A2_error_cm,anomaly_detected
1048,1507,408,0.8276271820068359,442,406,0.8168757557868958,"[3393.8941723133235, -712.0133013461301, 5561.589299377458]","[3000.3618025859037, 828.2592259279653]",3.6695594022733182,"[865.2313711559341, 805.7738239030996]",4.004580781778356,False
1049,1545,410,0.8053542971611023,441,406,0.4,"[4127.883893917766, -730.890124561955, 6381.238059260135]","[3061.6155508243473, 849.6282195381395]",12.931003323631307,"[838.2027103873206, 776.8327593705696]",20.02459223826363,False
1050,1541,413,0.4,373,410,0.6348319607336612,"[3334.5151545154076, -645.6998794875502, 4980.413091139602]","[3099.477162656378, 825.6851464131257]",7.770713206114238,"[749.9676198667484, 826.9992125061332]",6.969882593495709,False
1051,1541,413,0.3,372,409,0.4,"[3368.666683758807, -650.961883011513, 5025.218141990309]","[3100.8588976107308, 825.8575849637664]",8.253746947398545,"[749.4887448748578, 824.857135065857]",7.5281774267890675,False
1052,1666,421,0.8334436416625977,311,437,0.658792560873543,"[3077.4013505426087, -451.83568907368226, 3848.7365242624633]","[3316.910429822095, 845.0947274358189]",1.1474142718991607,"[596.5178788763443, 881.1224615642084]",0.746326758918403,False
1053,1710,426,0.6688954830169678,310,437,0.4,"[2741.9224354116864, -408.227055928304, 3266.8219006727113]","[3383.3410943461104, 833.1107832733894]",6.845920465928066,"[586.2158169750211, 892.4161235685896]",3.5191712242058735,False
1054,1755,432,0.8323338031768799,207,430,0.8320464491844177,"[4084.726766447111, -462.15775792975137, 4533.521555714619]","[3486.457842517237, 869.5854356714309]",1.0768855411211162,"[389.0498618180056, 870.5665050303312]",1.031702789870568,False
1055,1755,428,0.4,161,436,0.8388252258300781,"[4511.941493417681, -472.80149481807285, 4992.46270576191]","[3491.047533358105, 881.056293160764]",4.996275731941243,"[308.2813254198176, 862.5061845333388]",5.93690448316107,False
1056,1795,434,0.7114959615650317,113,442,0.4,"[4641.780450905038, -425.802346857251, 4905.899485697771]","[3561.9512134475526, 893.5885461658371]",4.617614031106021,"[224.52334208032198, 877.4727333330461]",5.512043480757858,False
1057,1873,448,0.81476257810559,62,451,0.8557973504066467,"[4623.492275662111, -331.52190838020647, 4513.5218968237305]","[3692.6865271431375, 914.7311384181322]",1.561228064574903,"[142.94954771769943, 909.5185359882256]",1.6570992337622488,False
1161,1763,372,0.8161921501159668,117,288,0.8006155490875244,"[4919.029059021047, -1037.7158502265327, 5484.224614222107]","[3479.6642899824874, 731.2938178559837]",10.522206631487956,"[215.20302727689136, 625.9714481164127]",15.761860391250478,False
1162,1713,375,0.7938171625137329,116,288,0.4,"[5140.942939053129, -1042.6033192108587, 6027.4297373123845]","[3406.0779327213145, 757.0296247995572]",0.9265214791387062,"[239.1813657957426, 594.0405079361453]",1.685255078394902,False
