frame_no,B1_x,B1_y,B1_confidence,B2_x,B2_y,B2_confidence,position_3d_pixels,B1_reprojected_point,B1_error_cm,B2_reprojected_point,B2_error_cm,anomaly_detected
1048,16,374,0.7976728677749634,1892,383,0.3,"[-4762.258295778171, -866.5098314692611, 4496.296778011025]","[91.04262030378325, 762.119344613008]",0.6552129343637091,"[3721.7838418900033, 776.60757086892]",0.6486767787785108,False
1049,71,383,0.8326795697212219,1745,404,0.848747968673706,"[-3962.4054147178977, -794.9549535457049, 3940.0538761804632]","[183.91073700946154, 747.3380027032836]",6.806986856466511,"[3496.350030741492, 828.2199654740016]",4.950468136707033,False
1050,60,382,0.4,1700,411,0.8322300314903259,"[-3493.9593981583944, -754.3322655455917, 3474.6446987670633]","[184.10895882077793, 722.2826595322192]",12.198848559808424,"[3419.0421932661516, 851.0440009052885]",7.116936167297011,False
1051,178,402,0.8450319766998291,1657,417,0.8339241147041321,"[-3437.6867776274003, -729.4800562984781, 3861.3603848018133]","[384.2992702751926, 768.325991906709]",11.18810026311783,"[3335.692603088433, 858.3230765631398]",7.334556548478231,False
1052,225,410,0.8399996161460876,1614,425,0.7578974962234497,"[-3147.204259511028, -688.2075064030336, 3807.511463999074]","[494.91947103642525, 781.672384032397]",14.75579376579807,"[3259.373091553206, 874.1440403133471]",9.149279649216922,False
1053,248,411,0.7354381203857725,1575,431,0.8032627701759338,"[-3050.670223032309, -676.6554036578913, 3942.1675202844767]","[586.4736315972435, 796.5489940417884]",23.985852814911347,"[3209.5086266756903, 878.7352231874739]",15.550185580528314,True
1054,311,425,0.7616109251976013,1575,423,0.4,"[-3627.58103341742, -719.748094828555, 4968.575462185546]","[662.4500537279661, 840.3163825179166]",13.751426404188205,"[3188.2250569574703, 856.3834491948688]",12.64633469852838,False
1055,353,434,0.835638165473938,1575,423,0.3,"[-3929.3666130741494, -718.0170749267718, 5592.542703260692]","[710.199441162018, 867.2311722477416]",1.9796322133076187,"[3154.8919049509013, 848.842285276041]",2.201660274962909,False
1056,353,433,0.4,1486,447,0.6186250595838705,"[-5765.917752502183, -790.7200608323337, 8460.504001819578]","[746.8377894876201, 924.3036658218834]",37.02019930600086,"[3121.174123099908, 691.6793570711822]",136.36159096076528,True
1057,425,451,0.8447237610816956,1431,459,0.8259002566337585,"[-4711.386506523712, -651.0524234541671, 7669.547328500273]","[863.5553580259681, 938.3105763289805]",17.463810854839735,"[2880.869736657241, 844.787895190079]",38.207187671819874,False
