Unnamed: 0,frame_no,A1_x,A1_y,A1_confidence,A1_method,A2_x,A2_y,A2_confidence,A2_method,position_3d_pixels,A1_reprojected_point,A1_error_cm,A2_reprojected_point,A2_error_cm,anomaly_detected
176,1433,1099,649,0.7829315191403073,BG,833,636,0.6664853611069185,BG,"[931.1886890887033, 1229.301206577571, 7064.866280126854]","[2200.531886098865, 1306.828129188785]",3.7523519787896182,"[1667.8195932809615, 1265.2379228231214]",3.843591193496587,False
177,1434,1084,658,0.7298400636948805,BG/YOLO,853,646,0.7401169535179237,BG/YOLO,"[820.0745220921142, 1334.788236113296, 7199.608188391588]","[2170.606968071298, 1324.8843389591116]",3.790658832953995,"[1707.9730151865724, 1285.3232924654562]",3.919993279150973,False
178,1435,1071,666,0.6948268271597887,BG,872,656,0.6689953537073591,BG,"[722.4172962457018, 1436.5392088078288, 7335.380753526018]","[2144.825773528082, 1341.4263612595448]",4.059047343076699,"[1746.296387410383, 1304.935814732346]",4.244308154937154,False
179,1436,1057,673,0.4,LK,886,654,0.793351728840878,BG,"[591.7653242266817, 1479.059975601565, 7396.74452177496]","[2113.9306538554756, 1347.9608198839126]",0.3516772696050762,"[1771.6956756217426, 1308.7477568849934]",0.3664035124463614,False
180,1437,1048,672,0.3,LK,894,644,0.7680884177131377,BG/YOLO,"[502.01596823990485, 1438.0533929307649, 7421.441703025776]","[2093.2684175316454, 1338.1512154534164]",3.4466388804033525,"[1785.318830728789, 1296.5598573420164]",3.576144453990137,False
181,1438,1043,657,0.6036935466913922,BG,903,635,0.8085181362364084,BG,"[469.0708782566606, 1329.0065237043027, 7498.713963777079]","[2084.7582901467326, 1311.944917631916]",1.481351139919964,"[1804.7417592522895, 1274.2448969607087]",1.5518702603552958,False
182,1439,1037,647,0.6079390145634527,BG,912,626,0.8085181428902573,BG,"[419.3330021529871, 1244.536829648795, 7563.353396404301]","[2072.870701795328, 1291.848338206851]",1.460384703887917,"[1822.8956307964256, 1256.0463827106862]",1.5391667833380174,False
183,1440,1031,637,0.4,LK,921,618,0.691679632232885,BG/YOLO,"[370.03738400483854, 1163.8635493663971, 7629.912405849194]","[2061.261106976474, 1272.8201437575024]",0.9245428601556293,"[1841.2990251062597, 1238.7755920855489]",0.9803395963404586,False
184,1441,1025,629,0.8174557970063495,BG,930,610,0.7985361814498901,YOLO,"[317.4434849890869, 1092.4477517241935, 7693.622078214213]","[2049.1614197047784, 1256.110265769663]",1.2324491690735218,"[1859.2429318093614, 1223.31439490741]",1.3138446529743808,False
185,1442,1020,622,0.8289225697517395,YOLO,939,601,0.7783402421328645,BG,"[271.1773907674021, 1019.9442976754442, 7758.256356316995]","[2038.6172090360042, 1239.42786234534]",2.526196044905402,"[1876.7663948232728, 1207.9681791429934]",2.7108074842264736,False
186,1443,1014,613,0.8085181381420813,BG,948,595,0.7948195338249207,YOLO,"[220.29567385537706, 951.3480546614402, 7826.815353503372]","[2027.237258089928, 1223.7159073259697]",1.3607066107461616,"[1895.3672614836823, 1193.3978472511537]",1.4683739801591356,False
187,1444,1008,605,0.7908958272640015,BG,956,587,0.7636004745694337,BG,"[165.41825705563852, 877.3302040995918, 7882.185905944611]","[2015.2674944469386, 1207.483354844776]",1.4484415126049572,"[1911.4140088018457, 1177.4966003610643]",1.5682249456576287,False
188,1445,1004,604,0.4,LK,964,580,0.4,LK,"[123.23938886958948, 842.7074183675219, 7938.179182331348]","[2006.1372005550406, 1199.3283009386375]",4.539101990654467,"[1926.3889444932377, 1170.039644313046]",4.941456601165419,False
189,1446,997,590,0.7745507159492427,BG,973,574,0.7655558068381184,BG/YOLO,"[64.3754423237594, 746.2596145916531, 8008.731142597656]","[1993.6210898345457, 1178.7642052121532]",0.7648208726446265,"[1945.7705473059184, 1149.915108147335]",0.8362274701672623,False
190,1447,992,584,0.6915631392403954,BG,981,568,0.5628283619880676,YOLO,"[16.58091476633958, 689.6562743246104, 8068.233258583479]","[1983.6187630690506, 1166.5589105820577]",0.8556126595732918,"[1961.7789296967853, 1138.062724696853]",0.9397697737546462,False
191,1448,989,583,0.4,LK,990,562,0.6494362456507383,BG/YOLO,"[-16.367595992293698, 658.1897097438606, 8139.362639986307]","[1976.821332990126, 1159.249526787139]",3.572432668008779,"[1979.0566393497998, 1131.8230389988596]",3.9577214542137815,False
201,1462,926,530,0.446763664484024,YOLO,1101,516,0.607851746491901,BG,"[-693.3073529781217, 167.39770963563134, 9022.18114530465]","[1851.7162649269908, 1060.5157540402354]",0.2265264137597349,"[2201.981266831306, 1031.847937691932]",0.2668579409216416,False
202,1463,925,529,0.4,LK,1108,514,0.4,LK,"[-709.392274381165, 151.3203645803186, 9084.861818910933]","[1849.642714399341, 1057.5087910081284]",0.3393081871802313,"[2215.9104695341, 1029.0443434504589]",0.402819874227464,False
203,1464,925,528,0.3,LK,1116,514,0.646229180131302,BG,"[-714.9452968623999, 144.82694954244232, 9159.226602264214]","[1849.689031210185, 1056.1711568721084]",0.0373075847588286,"[2231.9428118206747, 1028.3052824271235]",0.0447625533356258,False
207,1468,905,527,0.4659861326217651,YOLO,1146,513,0.6050135787949257,BG,"[-960.6038621840012, 138.5373872882349, 9407.781918308392]","[1809.4829619134268, 1054.4498663883708]",0.1713051533972213,"[2291.9452585515705, 1026.1948344299199]",0.2072254312606351,False
