Unnamed: 0,frame_no,B1_x,B1_y,B1_confidence,B1_method,B2_x,B2_y,B2_confidence,B2_method,position_3d_pixels,B1_reprojected_point,B1_error_cm,B2_reprojected_point,B2_error_cm,anomaly_detected
146,1346,1638,673,0.7146315574645996,YOLO,904,586,0.8323186919600187,BG,"[5397.132813292863, 1172.4064163732103, 7034.151285320064]","[3262.734877951524, 1349.3613226067298]",2.156367635116488,"[1807.635943007808, 1169.3293137269247]",1.2018213744196282,False
147,1347,1645,664,0.4,LK,902,581,0.8983534868245349,BG,"[5461.3599531663795, 1094.3828168278662, 7043.732543112126]","[3276.756958519808, 1330.8910372086862]",1.8914914810510215,"[1803.6978992677587, 1159.6666952004737]",1.05165666357903,False
149,1349,1645,657,0.4,LK,901,581,0.3,LK,"[5470.567356936886, 1064.3071810901192, 7059.609538093259]","[3275.993710185495, 1323.3588557819103]",4.661254722623134,"[1801.2894955430827, 1156.2204051789392]",2.596459480473722,False
166,1383,1732,500,0.6875466108322144,YOLO,873,499,0.7114959615650317,BG,"[6313.562100052829, -321.0973801860402, 7225.750304197124]","[3447.6486656450816, 1004.4058600182303]",1.4909917376916244,"[1746.0733232952493, 996.2969570527904]",0.8115015805748582,False
169,1386,1670,478,0.8321080207824707,YOLO,896,488,0.6683749941974539,BG,"[5648.760994437369, -501.70239110429276, 7024.659453939428]","[3326.739897880154, 960.3169465725886]",1.3340756481237517,"[1792.0788367351365, 974.4187871065419]",0.7345946850816839,False
170,1387,1648,470,0.736083420460396,BG/YOLO,904,485,0.7176767676094518,BG,"[5422.218997567534, -556.4334983149735, 6960.583407945621]","[3283.0760822097714, 946.3945244297561]",2.1537423645116918,"[1808.1102862447483, 967.3609085978918]",1.1918582851058146,False
171,1388,1627,463,0.7152848834603881,BG,912,481,0.6664141413516337,BG,"[5206.095544468257, -613.6569146165888, 6897.065556334094]","[3241.1182159231766, 931.6346548952124]",1.7571633626469254,"[1824.1073862231517, 959.8371138615347]",0.9766162664844936,False
172,1389,1605,457,0.7168636611613539,BG,921,478,0.685223306132241,BG,"[4978.760861655526, -656.4124218473193, 6825.245270129162]","[3197.0703746030617, 919.8689519401144]",1.7744912391360952,"[1842.1146526012872, 953.7864785179273]",0.9899817003918936,False
174,1391,1560,444,0.6772362715529212,BG,938,472,0.6400768631214537,BG,"[4541.954033866741, -744.0399976379459, 6703.091256579275]","[3106.9924490316635, 895.6443783941633]",2.314926683585091,"[1876.164836666947, 941.0158161781808]",1.3050593038842484,False
175,1392,1537,438,0.6723318638770789,BG,947,469,0.6935989106655485,BG,"[4323.591776732391, -783.8300930046347, 6640.24391536032]","[3061.023145324905, 884.1364101701881]",2.41196291324856,"[1894.1819929770663, 934.8527013473853]",1.366651986013843,False
176,1393,1514,432,0.6991387904910565,BG/YOLO,956,465,0.6683749941974539,BG,"[4110.082146245717, -830.2793644604561, 6579.871474402091]","[3015.048392715807, 870.8317922348583]",1.784384054364349,"[1912.1412794570292, 927.6888997871877]",1.0162584472680516,False
177,1394,1490,426,0.6954067702732598,BG/YOLO,965,463,0.6391923625811166,BG,"[3895.9870724083075, -860.837524659371, 6523.316324479313]","[2967.4589546314232, 861.3898455414698]",2.711075613105572,"[1930.225990213346, 922.3772900685228]",1.553749481818252,False
178,1395,1466,421,0.7644509943121871,BG/YOLO,975,460,0.6985639785016515,BG,"[3679.501338108625, -892.9983895151415, 6457.5108333717335]","[2919.810564887704, 851.0545568800122]",2.487346709520942,"[1950.2075713710285, 916.6631459032774]",1.4321644310010144,False
179,1396,1441,416,0.7031742782781688,BG,985,457,0.6985639785016515,BG,"[3462.454261062162, -924.4988061921074, 6396.490884186227]","[2870.3247474240084, 840.8521140699653]",2.32928639632404,"[1970.1875656245766, 910.8668558174227]",1.3488319508368296,False
180,1397,1416,411,0.5792800302859826,BG/YOLO,995,454,0.6188143483889068,BG,"[3250.602466503407, -955.3382182912417, 6337.868169933385]","[2820.972707745796, 830.7168193509369]",2.211596484039796,"[1990.163593259998, 905.0233507611385]",1.2882437275176335,False
181,1398,1391,406,0.7292602088931973,BG,996,454,0.4,LK,"[3096.87161359153, -975.419275526623, 6386.7285931719]","[2772.359403007961, 827.4635032351605]",4.8377322136968255,"[1992.5044270312426, 901.1012806589432]",2.881956730277461,False
185,1402,1338,396,0.3,LK,1050,443,0.8061450660379307,BG,"[2499.333371684107, -1026.8009395422027, 5894.292926700332]","[2666.662710936326, 792.3707953834056]",1.0120622169904772,"[2099.3657716598177, 888.0103841042608]",0.5743240438221572,False
186,1403,1257,388,0.718343198299408,YOLO,1049,442,0.4,LK,"[2045.0244517251538, -1071.6887169822248, 6130.662254216397]","[2509.5863459398274, 791.3815383180414]",4.739263563262704,"[2098.4591990201993, 876.9189956848976]",2.938783991233945,False
196,1425,569,410,0.3,LK,1451,458,0.764754056930542,YOLO,"[-1870.2497003699805, -612.6819790493919, 4148.776654730708]","[1147.486398597967, 835.7122787994492]",3.846083522945945,"[2899.05928417529, 909.9148423074658]",2.217783740972497,False
203,1432,149,497,0.8393521308898926,YOLO,1653,502,0.4339936673641205,YOLO,"[-2915.0817327879704, -135.04599599186733, 3101.464270964549]","[298.1203957947467, 1005.86873178377]",2.118014137239316,"[3308.46244380713, 1000.619993247223]",0.9887289681401952,False
