,frame_no,A1_x,A1_y,A1_confidence,A1_method,A2_x,A2_y,A2_confidence,A2_method
0,1021,795,468,0.8080763816833496,YOLO,1023,452,0.502068281173706,YOLO
1,1022,813,462,0.4,LK,1008,447,0.4,LK
2,1023,832,458,0.8238793015480042,YOLO,993,443,0.3,LK
3,1024,851,453,0.8121449947357178,YOLO,993,443,0.2,LK
4,1025,851,452,0.4,LK,983,443,0.2,LK
5,1026,868,449,0.3,LK,946,432,0.6593547463417053,YOLO
6,1027,896,442,0.6368238171141964,BG,949,433,0.7722839969901619,BG
7,1028,896,441,0.4,LK,948,433,0.4,LK
8,1029,956,430,0.7053769327831894,BG,948,433,0.3,LK
9,1030,956,429,0.4,LK,949,433,0.2,LK
10,1031,956,429,0.3,LK,948,433,0.2,LK
11,1032,1026,419,0.5769917368888855,YOLO,948,433,0.2,LK
12,1033,1025,419,0.4,LK,948,433,0.2,LK
13,1034,1076,415,0.6519206762313843,YOLO,948,433,0.2,LK
14,1035,1075,414,0.4,LK,948,433,0.2,LK
15,1036,1075,414,0.3,LK,774,406,0.620843231678009,YOLO
16,1037,1075,414,0.2,LK,751,404,0.7319937348365784,YOLO
17,1038,1075,414,0.2,LK,751,403,0.4,LK
18,1039,1211,404,0.4385858178138733,YOLO,751,403,0.3,LK
19,1040,1210,404,0.4,LK,751,403,0.2,LK
20,1041,1210,404,0.3,LK,751,403,0.2,LK
21,1042,1210,404,0.2,LK,751,403,0.2,LK
22,1043,1210,404,0.2,LK,751,403,0.2,LK
23,1044,1210,404,0.2,LK,751,403,0.2,LK
24,1045,1400,403,0.6511204838752747,YOLO,751,403,0.2,LK
25,1046,1433,404,0.7972566485404968,YOLO,509,403,0.38780921697616577,YOLO
26,1047,1470,406,0.8151363134384155,YOLO,385,428,0.8061450660379307,BG
27,1048,1507,408,0.8276271820068359,YOLO,442,406,0.8168757557868958,YOLO
28,1049,1545,410,0.8053542971611023,YOLO,441,406,0.4,LK
