Unnamed: 0,frame_no,A1_x,A1_y,A1_confidence,A1_method,A2_x,A2_y,A2_confidence,A2_method,position_3d_pixels,A1_reprojected_point,A1_error_cm,A2_reprojected_point,A2_error_cm,anomaly_detected
0,1021,795,468,0.8080763816833496,YOLO,1023,452,0.502068281173706,YOLO,"[-1864.3065328634257, -484.0727254308621, 7931.310431658029]","[1587.2223263659757, 934.4073687215065]",0.8344187257267268,"[2045.9062117271465, 905.6761288547647]",0.7328338529303627,False
1,1022,813,462,0.4,LK,1008,447,0.4,LK,"[-1665.6171897454321, -537.822965840526, 7813.745396427401]","[1623.8199721500437, 922.0524018239382]",0.9608430437141855,"[2015.9590601325751, 895.9249718245585]",0.8448474756224363,False
2,1023,832,458,0.8238793015480042,YOLO,993,443,0.3,LK,"[-1464.3183770688977, -574.2115262906742, 7703.1931871764555]","[1662.3921371759302, 913.0021167199477]",1.43193219197595,"[1986.0531043037106, 888.8069618437115]",1.2621868510983572,False
5,1026,868,449,0.3,LK,946,432,0.6593547463417053,YOLO,"[-1069.4450420583794, -656.4915356698945, 7310.143720180814]","[1735.6096196304525, 888.8165415962574]",4.1595116543100445,"[1892.6242759283302, 871.9724156480165]",3.573038736677549,False
6,1027,896,442,0.6368238171141964,BG,949,433,0.7722839969901619,BG,"[-838.3984785193841, -685.1457799815197, 7423.431295324369]","[1791.3741484483517, 884.8719008599403]",0.3998726858432945,"[1897.9542660379745, 865.5011696532832]",0.35958689135449584,False
7,1028,896,441,0.4,LK,948,433,0.4,LK,"[-837.428361908083, -689.3523644671777, 7412.552868712269]","[1791.315851184213, 883.7580637057471]",0.8069914884638817,"[1895.897095914235, 864.7244091095876]",0.7244911670892,False
8,1029,956,430,0.7053769327831894,BG,948,433,0.3,LK,"[-315.32584154499057, -742.4305386815527, 7596.836385982194]","[1910.7920485553004, 876.2617371374624]",7.592331941781968,"[1894.8271604729957, 850.7492042140683]",7.480501594716488,False
15,1036,1075,414,0.3,LK,774,406,0.620843231678009,YOLO,"[642.2492138329906, -840.4602322437862, 6297.746277472387]","[2150.671703970166, 819.6539882065044]",3.609291532602077,"[1549.560601385053, 820.5944163202488]",3.118726684031924,False
18,1039,1211,404,0.4385858178138733,YOLO,751,403,0.3,LK,"[1767.9983771803356, -884.5334150052416, 6772.51383621561]","[2416.607324836992, 824.1663581070413]",6.17945572559973,"[1499.207682882974, 791.2391676295506]",6.873533823483887,False
25,1046,1433,404,0.7972566485404968,YOLO,509,403,0.3878092169761657,YOLO,"[2979.8563085973683, -761.5614104184359, 5685.370235438173]","[2856.4036704987125, 818.8665707636904]",2.9351533667190863,"[1007.8320580875156, 800.34438508659]",3.096984783725819,False
26,1047,1470,406,0.8151363134384155,YOLO,385,428,0.8061450660379307,BG,"[2040.0255467883712, -519.6418139168243, 3373.930377536964]","[2991.009000269808, 787.0718442480196]",13.413412544667183,"[778.6207956254352, 872.1534450750447]",6.09006540264572,True
27,1048,1507,408,0.8276271820068359,YOLO,442,406,0.8168757557868958,YOLO,"[3393.8941723133235, -712.0133013461301, 5561.589299377458]","[3000.3618025859037, 828.2592259279653]",3.6695594022733182,"[865.2313711559341, 805.7738239030996]",4.004580781778356,False
28,1049,1545,410,0.8053542971611023,YOLO,441,406,0.4,LK,"[4127.883893917766, -730.890124561955, 6381.238059260135]","[3061.6155508243473, 849.6282195381395]",12.931003323631307,"[838.2027103873206, 776.8327593705696]",20.02459223826363,False
29,1050,1541,413,0.4,LK,373,410,0.6348319607336612,BG/YOLO,"[3334.5151545154076, -645.6998794875502, 4980.413091139602]","[3099.477162656378, 825.6851464131257]",7.770713206114238,"[749.9676198667484, 826.9992125061332]",6.969882593495709,False
30,1051,1541,413,0.3,LK,372,409,0.4,LK,"[3368.666683758807, -650.961883011513, 5025.218141990309]","[3100.8588976107308, 825.8575849637664]",8.253746947398545,"[749.4887448748578, 824.857135065857]",7.5281774267890675,False
31,1052,1666,421,0.8334436416625977,YOLO,311,437,0.658792560873543,BG,"[3077.4013505426087, -451.83568907368226, 3848.7365242624633]","[3316.910429822095, 845.0947274358189]",1.1474142718991607,"[596.5178788763443, 881.1224615642084]",0.746326758918403,False
32,1053,1710,426,0.6688954830169678,YOLO,310,437,0.4,LK,"[2741.9224354116864, -408.227055928304, 3266.8219006727113]","[3383.3410943461104, 833.1107832733894]",6.845920465928066,"[586.2158169750211, 892.4161235685896]",3.5191712242058735,False
33,1054,1755,432,0.8323338031768799,YOLO,207,430,0.8320464491844177,YOLO,"[4084.726766447111, -462.15775792975137, 4533.521555714619]","[3486.457842517237, 869.5854356714309]",1.0768855411211162,"[389.0498618180056, 870.5665050303312]",1.031702789870568,False
34,1055,1755,428,0.4,LK,161,436,0.8388252258300781,YOLO,"[4511.941493417681, -472.80149481807285, 4992.46270576191]","[3491.047533358105, 881.056293160764]",4.996275731941243,"[308.2813254198176, 862.5061845333388]",5.93690448316107,False
35,1056,1795,434,0.7114959615650317,BG,113,442,0.4,LK,"[4641.780450905038, -425.802346857251, 4905.899485697771]","[3561.9512134475526, 893.5885461658371]",4.617614031106021,"[224.52334208032198, 877.4727333330461]",5.512043480757858,False
36,1057,1873,448,0.81476257810559,BG/YOLO,62,451,0.8557973504066467,YOLO,"[4623.492275662111, -331.52190838020647, 4513.5218968237305]","[3692.6865271431375, 914.7311384181322]",1.561228064574903,"[142.94954771769943, 909.5185359882256]",1.6570992337622488,False
37,1161,1763,372,0.8161921501159668,YOLO,117,288,0.8006155490875244,YOLO,"[4919.029059021047, -1037.7158502265327, 5484.224614222107]","[3479.6642899824874, 731.2938178559837]",10.522206631487956,"[215.20302727689136, 625.9714481164127]",15.761860391250478,False
38,1162,1713,375,0.7938171625137329,YOLO,116,288,0.4,LK,"[5140.942939053129, -1042.6033192108587, 6027.4297373123845]","[3406.0779327213145, 757.0296247995572]",0.9265214791387062,"[239.1813657957426, 594.0405079361453]",1.685255078394902,False
39,1163,1667,378,0.6177759170532227,YOLO,116,288,0.3,LK,"[5391.379717820942, -1047.0915411502908, 6645.163455435596]","[3336.531067786427, 781.4384844133842]",9.919812839710795,"[275.4409010383852, 548.3975584141469]",22.654683390371105,False
40,1164,1622,381,0.8009806871414185,YOLO,348,308,0.8567474484443665,YOLO,"[4628.62975682227, -1062.2506092601918, 6352.538633542061]","[3198.2804481548965, 766.1560964177154]",13.942381450814592,"[617.8961080745315, 621.7255614362874]",23.86708033328896,False
41,1165,1578,385,0.8378750681877136,YOLO,414,313,0.8341430425643921,YOLO,"[4663.612955067848, -1062.6510450985154, 6844.799313363629]","[3119.2222488364177, 785.1186678903389]",12.673012692259393,"[760.4520285684994, 608.9734732016731]",24.613592036717254,False
42,1166,1540,388,0.5955636501312256,YOLO,471,319,0.519464910030365,YOLO,"[4564.649953079523, -1061.655752482347, 7109.990408615837]","[3053.4687795535483, 794.5157916299006]",10.32996618044485,"[895.2795617878743, 612.146850878446]",20.890738722204215,False
43,1167,1539,388,0.4,LK,471,319,0.4,LK,"[4551.706825305585, -1062.1467741497804, 7098.688282964699]","[3052.129441976525, 794.0294865140586]",9.96302554155993,"[896.7925864958612, 613.2360687762089]",20.02006611840447,False
44,1168,1539,388,0.3,LK,584,334,0.8516761660575867,YOLO,"[5259.5054511174085, -1048.1945740871488, 8290.380859735324]","[3040.7725389671446, 830.7759679216608]",29.912500622104144,"[1062.6223122939039, 504.90044224022216]",101.91475572796381,True
46,1170,1400,404,0.7307498455047607,YOLO,548,329,0.4,LK,"[3251.8243467762227, -1042.5156250309556, 6451.533543360891]","[2822.82100792753, 775.0687722205013]",18.351079460842577,"[1126.9236011636972, 705.3765323604154]",23.533490533096106,False
47,1171,1399,404,0.4,LK,548,329,0.3,LK,"[3240.828468343667, -1042.9460574826664, 6441.979680726141]","[2821.2171302851057, 774.5831641880847]",18.56862314409829,"[1127.2364222634017, 705.7839619325836]",23.708039112710182,False
48,1172,1399,404,0.3,LK,761,359,0.7907808423042297,YOLO,"[3959.2791446337087, -1004.9364145434198, 8222.376957541559]","[2785.182606137161, 837.4553030466994]",13.951295725082998,"[1505.4899187618146, 661.2655332936339]",31.490966077200437,True
49,1173,1312,417,0.4420719146728515,YOLO,761,358,0.4,LK,"[2925.797666993507, -975.9033076654372, 7621.475077917619]","[2621.9571231422638, 828.2225256645851]",3.9358186990513575,"[1526.0430925937906, 729.8031505043435]",6.239434014278983,False
50,1174,1318,413,0.4,LK,761,358,0.3,LK,"[2984.553878072384, -993.0361371577659, 7650.807373027485]","[2632.3354058470627, 825.4520761615136]",1.4102302145649632,"[1523.7253214786851, 721.9029033211933]",2.2773483210707974,False
51,1175,1318,413,0.3,LK,875,381,0.7707192301750183,YOLO,"[3286.8750788492457, -955.8876152462066, 8489.641591284188]","[2627.4311062960296, 852.7066101842299]",13.020410921846704,"[1741.2314886355678, 714.2835371127903]",26.53668286365614,False
52,1176,1234,430,0.4493336379528045,YOLO,909,388,0.8134254813194275,YOLO,"[2416.0645532438284, -878.3060279601114, 8338.911093599085]","[2464.551804738449, 864.2235480946332]",1.409467882425663,"[1817.441729852744, 772.3408270258217]",2.34097464027231,False
53,1177,1211,435,0.4522290229797363,YOLO,887,392,0.4,LK,"[2122.731696867195, -839.0239306890063, 8066.060743113119]","[2420.1403761165748, 866.2948178806188]",2.5451205154992516,"[1775.4047453180694, 792.0778873356581]",3.8149307725187476,False
54,1178,1210,435,0.4,LK,971,403,0.632969856262207,YOLO,"[2267.438144071579, -825.209359537593, 8690.177400400582]","[2416.381124391267, 880.6509660505543]",5.056931000918008,"[1940.0105736875744, 790.8053454849849]",8.721146755656052,False
