,frame_no,B1_x,B1_y,B1_confidence,B1_method,B2_x,B2_y,B2_confidence,B2_method
0,1061,16,374,0.7976728677749634,YOLO,1892,383,0.4,LK
1,1062,71,383,0.8326795697212219,YOLO,1892,383,0.3,LK
2,1063,60,382,0.4,LK,1745,404,0.848747968673706,YOLO
3,1064,178,402,0.8450319766998291,YOLO,1700,411,0.8322300314903259,YOLO
4,1065,225,410,0.8399996161460876,YOLO,1657,417,0.8339241147041321,YOLO
5,1066,248,411,0.7354381203857725,BG/YOLO,1614,425,0.7578974962234497,YOLO
6,1067,311,425,0.7616109251976013,YOLO,1575,431,0.8032627701759338,YOLO
7,1068,353,434,0.835638165473938,YOLO,1575,423,0.4,LK
8,1069,353,433,0.4,LK,1575,423,0.3,LK
9,1070,425,451,0.8447237610816956,YOLO,1466,451,0.4872131645679474,YOLO
10,1071,459,460,0.7807726860046387,YOLO,1431,459,0.8259002566337585,YOLO
11,1072,490,468,0.5113481879234314,YOLO,1430,459,0.4,LK
12,1073,521,476,0.8536665439605713,YOLO,1430,458,0.3,LK
13,1074,550,483,0.6372686624526978,YOLO,1334,481,0.7161812353777322,BG/YOLO
14,1075,576,490,0.4,LK,1333,482,0.4,LK
15,1076,604,500,0.7514632672123474,BG/YOLO,1333,482,0.3,LK
16,1077,598,495,0.4,LK,1333,482,0.2,LK
17,1078,654,515,0.6974915266036987,YOLO,1218,515,0.5982335805892944,YOLO
18,1079,677,524,0.6399151682853699,YOLO,1218,514,0.4,LK
19,1080,676,524,0.4,LK,1169,531,0.6998469233512878,YOLO
20,1081,676,524,0.3,LK,1168,530,0.4,LK
21,1082,676,524,0.2,LK,1120,548,0.6284952759742737,YOLO
22,1083,676,524,0.2,LK,1098,556,0.40895405411720276,YOLO
23,1084,676,524,0.2,LK,1077,564,0.6221414804458618,YOLO
24,1085,676,524,0.2,LK,1074,564,0.4,LK
25,1086,676,524,0.2,LK,1074,564,0.3,LK
26,1087,676,524,0.2,LK,1074,564,0.2,LK
27,1088,676,524,0.2,LK,993,601,0.7586398720741272,YOLO
28,1089,676,524,0.2,LK,985,595,0.4,LK
29,1102,983,602,0.6213742261987902,BG,808,616,0.7935455912192155,BG
30,1103,988,596,0.6108759556927862,BG,800,608,0.787644612766407,BG
31,1104,994,590,0.8202020201250877,BG,792,601,0.7720476897413296,BG
32,1105,999,585,0.7748298965014045,BG,784,595,0.6867752159605119,BG
33,1106,1005,580,0.6368238171141964,BG,777,588,0.6664154522263376,BG
34,1107,1010,574,0.8085181428902573,BG,769,582,0.6910187825795631,BG
35,1108,1016,569,0.685223306132241,BG,762,577,0.7912165427582412,BG
36,1109,1020,565,0.4,LK,755,571,0.7300079258206148,BG
37,1110,1025,562,0.3,LK,747,566,0.6948268209617899,BG
38,1111,1030,558,0.2,LK,746,561,0.7010964751243591,YOLO
39,1112,1034,555,0.2,LK,732,558,0.6090873832286587,BG
40,1113,1040,551,0.5711544752120972,YOLO,731,556,0.4,LK
41,1114,1044,547,0.4,LK,730,554,0.3,LK
42,1115,1049,545,0.3,LK,729,554,0.2,LK
43,1116,1054,542,0.2,LK,729,554,0.2,LK
44,1117,1058,540,0.2,LK,729,554,0.2,LK
45,1118,1063,538,0.2,LK,729,554,0.2,LK
46,1119,1067,536,0.2,LK,729,554,0.2,LK
47,1120,1071,535,0.2,LK,729,554,0.2,LK
48,1121,1075,534,0.2,LK,729,554,0.2,LK
49,1122,1079,533,0.2,LK,729,554,0.2,LK
50,1123,1083,532,0.2,LK,662,531,0.7142447233200073,YOLO
51,1124,1088,531,0.4672738313674927,YOLO,653,530,0.6967131794076677,BG/YOLO
52,1125,1092,530,0.443203866481781,YOLO,646,529,0.4,LK
53,1126,1095,529,0.4,LK,640,529,0.3,LK
54,1127,1099,529,0.3,LK,637,530,0.785754382610321,YOLO
55,1128,1103,530,0.2,LK,631,531,0.7215485572814941,YOLO
56,1129,1106,530,0.2,LK,625,531,0.4,LK
57,1130,1109,530,0.2,LK,619,532,0.3,LK
58,1131,1112,530,0.2,LK,613,532,0.2,LK
59,1132,1112,531,0.2,LK,608,534,0.2,LK
60,1133,1113,531,0.2,LK,606,535,0.2,LK
61,1134,1113,531,0.2,LK,606,535,0.2,LK
62,1135,1113,531,0.2,LK,605,534,0.2,LK
63,1149,1120,550,0.6737651151184011,BG,571,557,0.4,LK
64,1150,1105,544,0.7436781659348073,BG,587,549,0.8001112341880798,YOLO
65,1151,1088,538,0.6745914771583519,BG,582,539,0.4,LK
66,1152,1070,532,0.6111464731783545,BG,587,537,0.3,LK
67,1153,1052,525,0.6360342686717707,BG,640,526,0.8307579755783081,YOLO
68,1154,1035,518,0.6206330553638505,BG/YOLO,658,518,0.6729677599525805,BG
69,1155,1014,513,0.6212344951124719,BG,677,511,0.6943645604418299,BG
70,1156,995,507,0.6092606785082666,BG/YOLO,697,503,0.7213958715031694,BG
71,1157,975,500,0.6170011714214205,BG/YOLO,696,502,0.4,LK
72,1158,974,500,0.4,LK,739,488,0.6835116364549303,BG
73,1159,932,489,0.6474436227001856,BG,762,480,0.7517368796128688,BG/YOLO
74,1160,910,483,0.6016633558637455,BG,785,473,0.5885664688703537,BG/YOLO
75,1161,887,477,0.6224137395809755,BG,809,465,0.6200325719496667,BG
76,1162,887,476,0.4,LK,833,457,0.7095095197889119,BG/YOLO
77,1163,843,466,0.7947567105293274,YOLO,860,450,0.6502915851480175,BG/YOLO
78,1164,847,465,0.4,LK,887,443,0.6463181867558407,BG
79,1165,847,465,0.3,LK,916,436,0.7036519646644592,YOLO
80,1166,757,448,0.7964953919549048,BG,912,437,0.4,LK
81,1167,757,448,0.4,LK,975,421,0.5731363892555237,YOLO
82,1168,757,448,0.3,LK,974,421,0.4,LK
83,1169,679,433,0.46393442153930664,YOLO,1045,405,0.6455029845237732,YOLO
84,1170,683,432,0.4,LK,1045,404,0.4,LK
85,1171,683,432,0.3,LK,1045,404,0.3,LK
86,1172,683,432,0.2,LK,1163,380,0.7459513710588379,BG/YOLO
87,1173,552,416,0.531456470489502,YOLO,1163,379,0.4,LK
88,1174,517,410,0.5892741680145264,YOLO,1256,365,0.4685203731060028,YOLO
89,1175,482,407,0.7502239346504211,YOLO,1255,364,0.4,LK
90,1176,445,404,0.45390698313713074,YOLO,1255,364,0.3,LK
91,1177,63,503,0.8273908495903015,YOLO,1255,364,0.2,LK
92,1178,108,507,0.7024672627449036,YOLO,1463,337,0.7811689972877502,YOLO
93,1179,107,507,0.4,LK,1532,329,0.5614540576934814,YOLO
94,1180,147,503,0.3,LK,1598,321,0.8104907870292664,YOLO
95,1181,238,388,0.7788053750991821,YOLO,1673,314,0.8171833157539368,YOLO
96,1182,192,385,0.7879896759986877,YOLO,1748,307,0.7726454138755798,YOLO
97,1183,142,384,0.8269013166427612,YOLO,1751,307,0.4,LK
98,1184,93,382,0.8395137786865234,YOLO,1751,307,0.3,LK
99,1185,42,380,0.82182776927948,YOLO,1751,307,0.2,LK
100,1217,876,533,0.3,LK,1880,502,0.7117863297462463,YOLO
101,1218,876,533,0.2,LK,1884,501,0.4,LK
102,1219,876,533,0.2,LK,1903,506,0.3,LK
103,1296,56,150,0.6335399746894836,YOLO,1842,262,0.3,LK
104,1297,126,162,0.8699728846549988,YOLO,1842,262,0.2,LK
105,1298,189,172,0.8562080264091492,YOLO,1842,262,0.2,LK
106,1299,252,184,0.8769175410270691,YOLO,1612,309,0.7462220788002014,YOLO
107,1300,312,195,0.8419837355613708,YOLO,1611,309,0.4,LK
108,1301,370,207,0.7994077801704407,YOLO,1611,309,0.3,LK
109,1302,424,218,0.8813303709030151,YOLO,1611,309,0.2,LK
110,1303,476,230,0.47749853134155273,YOLO,1611,309,0.2,LK
111,1304,527,241,0.852655827999115,YOLO,1611,309,0.2,LK
112,1305,587,257,0.7689394011682371,BG,1611,309,0.2,LK
113,1306,587,256,0.4,LK,1611,309,0.2,LK
114,1307,587,256,0.3,LK,1611,309,0.2,LK
115,1308,587,256,0.2,LK,1611,309,0.2,LK
116,1309,587,256,0.2,LK,1324,384,0.7355085664991405,BG
117,1310,792,310,0.8260898590087891,YOLO,1323,384,0.4,LK
118,1311,832,322,0.8319839239120483,YOLO,1323,384,0.3,LK
119,1312,869,334,0.8639390468597412,YOLO,1260,406,0.6975484490394592,YOLO
120,1313,868,339,0.4,LK,1260,406,0.4,LK
121,1314,939,356,0.8881463408470154,YOLO,1260,406,0.3,LK
122,1315,974,368,0.7222225069999695,YOLO,1260,406,0.2,LK
123,1316,1005,379,0.7332053515589054,BG/YOLO,1260,406,0.2,LK
124,1317,1037,392,0.6583362178369625,BG,1260,406,0.2,LK
125,1318,1068,403,0.7586725411276254,BG/YOLO,1260,406,0.2,LK
126,1319,1079,400,0.4,LK,1260,406,0.2,LK
127,1320,1079,400,0.3,LK,1260,406,0.2,LK
128,1321,1153,437,0.7047549143957685,BG/YOLO,1260,406,0.2,LK
129,1322,1181,449,0.756948163893153,BG/YOLO,1260,406,0.2,LK
130,1330,1374,541,0.7241666472762568,BG,1024,514,0.7114959615650317,BG
131,1331,1395,553,0.7571866572491892,BG/YOLO,1007,526,0.7205669966849179,BG
132,1332,1416,565,0.8140173286088539,BG/YOLO,998,532,0.6680606979739152,BG
133,1333,1436,576,0.754636104323805,BG,989,538,0.6689953564557831,BG
134,1334,1456,588,0.6908390309388196,BG,981,543,0.6407828274071444,BG
135,1335,1475,600,0.8009034265817658,BG/YOLO,972,549,0.6683749941974539,BG
136,1336,1493,611,0.7458723870068176,BG,965,555,0.6449160528303446,BG
137,1337,1511,623,0.7112408117324913,BG,957,560,0.7126537717491253,BG
138,1338,1529,635,0.7009151695026019,BG,957,560,0.4,LK
139,1339,1548,647,0.8034710884094238,YOLO,941,572,0.7785730219145969,BG
140,1340,1564,659,0.8134523630142212,YOLO,935,577,0.6473589826355701,BG
141,1341,1561,658,0.4,LK,935,577,0.4,LK
142,1342,1593,680,0.6079390248693466,BG,921,589,0.6737651151184011,BG
143,1343,1611,694,0.6830350448606927,BG,915,595,0.8085181381420813,BG
144,1344,1623,694,0.7722007869964467,BG/YOLO,910,594,0.4,LK
145,1345,1630,683,0.8631453160654202,BG,907,591,0.8061450660379307,BG
146,1346,1638,673,0.7146315574645996,YOLO,904,586,0.8323186919600187,BG
147,1347,1645,664,0.4,LK,902,581,0.8983534868245349,BG
148,1348,1652,656,0.7154380083084106,YOLO,902,581,0.4,LK
149,1349,1645,657,0.4,LK,901,581,0.3,LK
150,1350,1654,657,0.3,LK,901,580,0.2,LK
151,1351,1659,656,0.2,LK,892,563,0.6473589826355701,BG
152,1352,1665,655,0.2,LK,890,559,0.8061450660379307,BG
153,1353,280,454,0.5097341537475586,YOLO,887,554,0.6587925570046589,BG
154,1354,288,455,0.6737651151184011,BG,885,551,0.4,LK
155,1355,288,455,0.4,LK,883,549,0.3,LK
156,1356,288,455,0.3,LK,881,547,0.2,LK
157,1357,314,461,0.6063886036065611,BG,879,544,0.2,LK
158,1358,323,462,0.6449160607605229,BG,877,542,0.2,LK
159,1359,330,464,0.6230435483933648,BG,874,539,0.2,LK
160,1360,1733,573,0.5319423079490662,YOLO,872,537,0.2,LK
161,1361,345,468,0.6252540268298763,BG,870,535,0.2,LK
162,1362,354,470,0.6362380867588684,BG,868,533,0.2,LK
163,1363,1752,561,0.7318408489227295,YOLO,866,531,0.2,LK
164,1381,484,524,0.6915631377813787,BG,858,507,0.8001063703614794,BG
165,1382,489,526,0.5558684673278287,BG/YOLO,865,503,0.7382922197978818,BG
166,1383,1732,500,0.6875466108322144,YOLO,873,499,0.7114959615650317,BG
167,1384,502,534,0.7480139127517623,BG,880,496,0.7176767676094518,BG
168,1385,508,538,0.8867595835457189,BG,888,492,0.7382922197978818,BG
169,1386,1670,478,0.8321080207824707,YOLO,896,488,0.6683749941974539,BG
170,1387,1648,470,0.736083420460396,BG/YOLO,904,485,0.7176767676094518,BG
171,1388,1627,463,0.7152848834603881,BG,912,481,0.6664141413516337,BG
172,1389,1605,457,0.7168636611613539,BG,921,478,0.685223306132241,BG
173,1390,536,557,0.7398388380432517,BG,929,475,0.708294239616913,BG
174,1391,1560,444,0.6772362715529212,BG,938,472,0.6400768631214537,BG
175,1392,1537,438,0.6723318638770789,BG,947,469,0.6935989106655485,BG
176,1393,1514,432,0.6991387904910565,BG/YOLO,956,465,0.6683749941974539,BG
177,1394,1490,426,0.6954067702732598,BG/YOLO,965,463,0.6391923625811166,BG
178,1395,1466,421,0.7644509943121871,BG/YOLO,975,460,0.6985639785016515,BG
179,1396,1441,416,0.7031742782781688,BG,985,457,0.6985639785016515,BG
180,1397,1416,411,0.5792800302859826,BG/YOLO,995,454,0.6188143483889068,BG
181,1398,1391,406,0.7292602088931973,BG,996,454,0.4,LK
182,1399,1365,402,0.6660119828354895,BG/YOLO,1021,456,0.3,LK
183,1400,1338,398,0.7466841744150452,BG,1021,456,0.2,LK
184,1401,1338,396,0.4,LK,1021,456,0.2,LK
185,1402,1338,396,0.3,LK,1050,443,0.8061450660379307,BG
186,1403,1257,388,0.718343198299408,YOLO,1049,442,0.4,LK
187,1404,1228,384,0.43053263425827026,YOLO,1049,442,0.3,LK
188,1405,1236,383,0.4,LK,1049,442,0.2,LK
189,1407,1139,379,0.4019952118396759,YOLO,1049,442,0.2,LK
190,1408,1138,378,0.4,LK,1049,442,0.2,LK
191,1409,1078,377,0.4428237974643707,YOLO,1049,442,0.2,LK
192,1410,1044,376,0.6122112650952386,BG,1049,442,0.2,LK
193,1411,1012,377,0.676025886348562,BG,1049,442,0.2,LK
194,1412,979,377,0.6972738013630693,BG/YOLO,1049,442,0.2,LK
195,1424,569,410,0.4,LK,1426,453,0.8144819140434265,YOLO
196,1425,569,410,0.3,LK,1451,458,0.764754056930542,YOLO
197,1426,440,433,0.8415135145187378,YOLO,1449,457,0.4,LK
198,1427,439,434,0.4,LK,1503,468,0.5603838562965393,YOLO
199,1428,346,452,0.854708731174469,YOLO,1502,468,0.4,LK
200,1429,296,462,0.6881979703903198,YOLO,1502,468,0.3,LK
201,1430,250,473,0.8683663010597229,YOLO,1502,468,0.2,LK
202,1431,200,485,0.8627356886863708,YOLO,1502,468,0.2,LK
203,1432,149,497,0.8393521308898926,YOLO,1653,502,0.4339936673641205,YOLO
204,1433,97,511,0.8378792405128479,YOLO,1648,503,0.4,LK
205,1434,43,525,0.8739617466926575,YOLO,1726,521,0.69700688123703,YOLO
206,1435,32,530,0.8085181428902573,BG,1739,526,0.7984272359164586,BG/YOLO
207,1446,339,511,0.75020015882688,BG,1849,563,0.2,LK
208,1447,339,511,0.4,LK,1849,563,0.2,LK
209,1448,338,509,0.3,LK,1849,563,0.2,LK
210,1533,37,389,0.8152908086776733,YOLO,1887,358,0.8398876190185547,YOLO
211,1534,84,389,0.8041741251945496,YOLO,1852,360,0.825807273492438,BG/YOLO
212,1535,83,388,0.4,LK,1768,363,0.8369409441947937,YOLO
213,1536,83,388,0.3,LK,1713,366,0.7625335454940796,YOLO
214,1537,83,388,0.2,LK,1661,369,0.8516464829444885,YOLO
215,1538,83,388,0.2,LK,1612,373,0.8580095767974854,YOLO
216,1539,83,388,0.2,LK,1567,377,0.7468594312667847,YOLO
217,1540,327,403,0.7756350040435791,YOLO,1523,381,0.832915723323822,YOLO
218,1541,326,402,0.4,LK,1482,385,0.8446476459503174,YOLO
219,1542,394,408,0.7950153946876526,YOLO,1444,389,0.6900387406349182,YOLO
220,1543,425,411,0.7823473215103149,YOLO,1443,393,0.4,LK
221,1544,455,415,0.7385855317115784,YOLO,1443,393,0.3,LK
222,1545,454,414,0.4,LK,1336,404,0.8302398324012756,YOLO
223,1546,512,423,0.625419557094574,YOLO,1304,409,0.7997378706932068,YOLO
224,1547,539,427,0.7100372314453125,YOLO,1273,414,0.6948369145393372,YOLO
225,1548,566,432,0.7924309968948364,YOLO,1277,410,0.4,LK
226,1549,565,432,0.4,LK,1277,410,0.3,LK
227,1550,566,432,0.3,LK,1189,431,0.8065804839134216,YOLO
228,1551,566,432,0.2,LK,1162,436,0.6944710041711688,BG
229,1552,566,432,0.2,LK,1161,436,0.4,LK
230,1553,683,455,0.7602949142456055,YOLO,1161,436,0.3,LK
231,1554,683,454,0.4,LK,1092,456,0.5461894273757935,YOLO
232,1555,682,454,0.3,LK,1092,456,0.4,LK
233,1556,744,471,0.7058131232741089,BG/YOLO,1092,456,0.3,LK
234,1557,744,470,0.4,LK,1092,456,0.2,LK
235,1558,782,482,0.7139564957433439,BG/YOLO,1008,481,0.7100048214555488,BG
236,1559,799,488,0.7198728073213279,BG,989,488,0.7467694369930244,BG
237,1560,817,494,0.6910187703579639,BG,971,494,0.7213958715031694,BG
238,1561,834,500,0.7592324496412248,BG,953,501,0.5907233535801565,BG/YOLO
239,1562,850,506,0.6336899192819934,BG/YOLO,937,507,0.7512407249471045,BG
240,1563,865,511,0.6987366796701391,BG,921,514,0.7127155637728426,BG
241,1564,881,517,0.7450035032560643,BG,905,521,0.7292189696462564,BG
242,1565,896,523,0.7438366870907148,BG,889,528,0.7033240071530216,BG
243,1566,911,530,0.6683749941974539,BG,875,535,0.7736206642719934,BG
244,1567,924,536,0.7332516056069041,BG,860,542,0.763334476998128,BG
245,1568,938,542,0.7086539075806999,BG,846,549,0.6228689525192876,BG/YOLO
246,1569,951,548,0.756715656986325,BG,832,556,0.7546169342021887,BG
247,1570,964,554,0.7607194515595167,BG,819,563,0.7298131185487869,BG
248,1571,976,561,0.7486279224055142,BG,806,570,0.7215195799171936,BG
249,1572,988,567,0.6981495332093393,BG,794,577,0.7488728513810099,BG
250,1573,1000,573,0.6863827583780918,BG,782,585,0.7918819624601455,BG
251,1574,1012,580,0.650069349514496,BG,777,585,0.4,LK
252,1575,562,487,0.6608037634475082,BG,759,600,0.7881059163488464,BG/YOLO
253,1576,561,486,0.4,LK,747,607,0.7437641263791115,BG/YOLO
254,1577,584,492,0.6400768631214537,BG,736,614,0.544348634835354,BG/YOLO
255,1578,594,495,0.685223306132241,BG,725,622,0.7329145714968639,BG/YOLO
256,1579,604,498,0.6422939496047868,BG,150,551,0.8399544551501442,BG
257,1580,614,501,0.6985639785016515,BG,705,636,0.63712881480674,BG
258,1581,623,503,0.7689393938672696,BG,695,644,0.6001223219087714,BG
259,1582,623,502,0.4,LK,688,642,0.7140165558333539,BG
260,1583,623,506,0.3,LK,684,635,0.8192983847954608,BG
261,1584,623,509,0.2,LK,679,628,0.6102901697158813,YOLO
262,1585,623,509,0.2,LK,678,631,0.4,LK
263,1586,623,509,0.2,LK,673,627,0.3,LK
264,1587,623,509,0.2,LK,673,627,0.2,LK
265,1588,623,509,0.2,LK,664,603,0.4772072732448578,YOLO
266,1589,623,509,0.2,LK,662,602,0.4,LK
267,1590,1127,587,0.6063886036065611,BG,661,602,0.3,LK
268,1591,1131,583,0.7860787654209549,BG,660,602,0.2,LK
269,1592,1133,582,0.4,LK,659,602,0.2,LK
270,1593,1136,579,0.3,LK,657,602,0.2,LK
271,1594,1140,576,0.2,LK,656,602,0.2,LK
272,1595,1144,573,0.2,LK,654,602,0.2,LK
273,1596,1151,562,0.6737651151184011,BG,653,602,0.2,LK
274,1597,1151,561,0.4,LK,651,602,0.2,LK
275,1598,717,530,0.6587925570046589,BG,649,602,0.2,LK
276,1600,727,535,0.6449160607605229,BG,614,549,0.7259221076965332,YOLO
277,1601,726,534,0.4,LK,610,546,0.4,LK
278,1602,726,534,0.3,LK,606,544,0.3,LK
279,1603,726,535,0.2,LK,602,542,0.2,LK
280,1604,726,535,0.2,LK,598,540,0.2,LK
281,1605,726,535,0.2,LK,595,539,0.2,LK
282,1606,754,551,0.7689394011682371,BG,592,538,0.2,LK
283,1607,756,550,0.4,LK,588,537,0.2,LK
284,1608,756,550,0.3,LK,586,536,0.2,LK
285,1609,756,551,0.2,LK,583,536,0.2,LK
286,1610,756,551,0.2,LK,581,535,0.2,LK
287,1628,1173,534,0.6817480478104881,BG,630,528,0.7229108409498487,BG/YOLO
288,1629,1157,531,0.6792297979160882,BG,652,524,0.6737420937643428,BG/YOLO
289,1630,1140,527,0.7203281877914343,BG/YOLO,674,520,0.6931806912990526,BG
290,1631,1122,524,0.7025684027108876,BG,697,517,0.7244098551625564,BG/YOLO
291,1632,1104,520,0.6628594514686413,BG,695,517,0.4,LK
292,1633,1086,517,0.6340062955329218,BG,746,510,0.6125059286347665,BG
293,1634,1066,514,0.6381278871217656,BG,771,507,0.558139421522202,BG/YOLO
294,1635,1046,511,0.6711515755868126,BG,797,504,0.628948176481618,BG/YOLO
295,1636,1039,509,0.4,LK,823,502,0.677530440343692,BG/YOLO
296,1637,1003,506,0.6585774570940999,BG,851,499,0.5903806184551554,BG/YOLO
297,1638,980,503,0.6910998006543023,BG,851,498,0.4,LK
298,1639,956,501,0.6330509446248137,BG,851,494,0.3,LK
299,1640,931,498,0.6504563104738691,BG,851,495,0.2,LK
300,1641,905,496,0.643837530104265,BG,851,495,0.2,LK
301,1642,904,495,0.4,LK,1002,490,0.6251933609043359,BG
302,1643,849,492,0.6014135668320333,BG,1002,489,0.4,LK
303,1644,842,489,0.4,LK,1002,490,0.3,LK
304,1645,814,489,0.3,LK,1003,490,0.2,LK
305,1646,777,490,0.2,LK,1002,490,0.2,LK
306,1647,774,489,0.2,LK,1003,490,0.2,LK
307,1648,774,489,0.2,LK,1003,490,0.2,LK
308,1649,774,489,0.2,LK,1003,490,0.2,LK
309,1650,774,489,0.2,LK,1003,490,0.2,LK
310,1651,774,490,0.2,LK,1003,490,0.2,LK
311,1652,774,489,0.2,LK,1407,497,0.43321549892425537,YOLO
312,1653,774,489,0.2,LK,1457,499,0.7271013259887695,YOLO
313,1654,412,498,0.5840811133384705,YOLO,1508,503,0.8317015171051025,YOLO
314,1655,357,501,0.7973644137382507,YOLO,1563,508,0.7847017645835876,YOLO
315,1656,294,505,0.8475607633590698,YOLO,1619,512,0.4499663710594177,YOLO
316,1657,233,510,0.7966560125350952,YOLO,1620,505,0.4,LK
317,1658,165,515,0.8414634466171265,YOLO,1740,525,0.8199535012245178,YOLO
318,1659,89,522,0.8582605719566345,YOLO,1810,533,0.7675589919090271,YOLO
319,1660,21,529,0.8067598342895508,YOLO,1809,533,0.4,LK
