Unnamed: 0,frame_no,B1_x,B1_y,B1_confidence,B1_method,B2_x,B2_y,B2_confidence,B2_method,position_3d_pixels,B1_reprojected_point,B1_error_cm,B2_reprojected_point,B2_error_cm,anomaly_detected
0,1061,16,374,0.7976728677749634,YOLO,1892,383,0.4,LK,"[-4762.258295778171, -866.5098314692611, 4496.296778011025]","[91.04262030378325, 762.119344613008]",0.6552129343637091,"[3721.7838418900033, 776.60757086892]",0.6486767787785108,False
1,1062,71,383,0.8326795697212219,YOLO,1892,383,0.3,LK,"[-4888.250264315105, -868.4644369098194, 4813.754005870697]","[166.8876138819374, 782.2227435834243]",3.1006209491435217,"[3718.60538614712, 768.0950779068422]",3.448231461921457,False
2,1063,60,382,0.4,LK,1745,404,0.848747968673706,YOLO,"[-3933.9208944840007, -792.2386711002205, 3877.898067828317]","[168.67454780242656, 743.1983668048969]",7.50284046993814,"[3497.21587298344, 829.8742278444454]",5.3282204732158345,False
3,1064,178,402,0.8450319766998291,YOLO,1700,411,0.8322300314903259,YOLO,"[-3937.9583456866517, -767.6642272606655, 4364.998747308772]","[363.65430945079254, 789.6492421571561]",4.797663371587753,"[3409.311075483507, 835.6757765661606]",3.9418624274420124,False
4,1065,225,410,0.8399996161460876,YOLO,1657,417,0.8339241147041321,YOLO,"[-3710.1133007260946, -738.6015388214926, 4382.178003909427]","[460.08575568389, 801.6124998669382]",6.485109061393012,"[3328.2975356551683, 849.5350547936365]",5.15512646153158,False
5,1066,248,411,0.7354381203857725,BG/YOLO,1614,425,0.7578974962234497,YOLO,"[-3266.587446470622, -699.3270899400787, 4042.4471177704754]","[527.0561181741566, 794.3423544164596]",11.383696047541974,"[3252.9491944687147, 869.3418601051914]",7.672619901973253,False
6,1067,311,425,0.7616109251976013,YOLO,1575,431,0.8032627701759338,YOLO,"[-3420.742439982053, -678.859675693205, 4676.5636430734485]","[660.0881428669875, 839.8228784135168]",12.318816315840731,"[3182.0936560848077, 871.8483527374805]",10.124717298569216,False
7,1068,353,434,0.835638165473938,YOLO,1575,423,0.4,LK,"[-3929.3666130741494, -718.0170749267718, 5592.542703260692]","[710.199441162018, 867.2311722477416]",1.9796322133076187,"[3154.8919049509013, 848.842285276041]",2.201660274962909,False
8,1069,353,433,0.4,LK,1575,423,0.3,LK,"[-3906.5648807675116, -720.391279753115, 5559.159915685171]","[709.9953683004396, 865.2735580067108]",1.8999076896352094,"[3154.6088980290224, 848.7782588820179]",2.0869662024038735,False
9,1070,425,451,0.8447237610816956,YOLO,1466,451,0.4872131645679474,YOLO,"[-4160.437715321212, -631.3014747279486, 6775.957445993944]","[864.0726476371802, 924.7812790129575]",10.357495773827521,"[2944.531483956799, 870.3680234786361]",16.286284286428327,False
10,1071,459,460,0.7807726860046387,YOLO,1431,459,0.8259002566337585,YOLO,"[-3920.1567447767106, -576.3138226963006, 6784.075568312382]","[926.8545596586641, 938.2076545998466]",7.557443849891842,"[2864.098957244581, 894.5696112606611]",11.359957207535032,False
11,1072,490,468,0.5113481879234314,YOLO,1430,459,0.4,LK,"[-3359.726735880425, -523.799643424999, 6165.593806977209]","[984.0419528716047, 938.200645295785]",0.5150161770632437,"[2854.0949820757687, 918.2930669733905]",0.6067439900079783,False
