Unnamed: 0,frame_no,B1_x,B1_y,B1_confidence,B1_method,B2_x,B2_y,B2_confidence,B2_method,position_3d_pixels,B1_reprojected_point,B1_error_cm,B2_reprojected_point,B2_error_cm,anomaly_detected
0,1061,16,374,0.7976728677749634,YOLO,1892,383,0.4,LK,"[-5077.113238177834, -731.3984052425551, 4248.78999052043]","[25.47091032689845, 691.9131001601484]",23.507881425054254,"[3731.2801328283185, 845.3342022386261]",18.10352709897154,True
1,1062,71,383,0.8326795697212219,YOLO,1892,383,0.3,LK,"[-5210.9527548377955, -718.9366535503051, 4580.723478712707]","[118.91949803717706, 716.3833663461377]",22.19244377067445,"[3730.982993704613, 844.5154545930405]",19.27135485495311,True
2,1063,60,382,0.4,LK,1745,404,0.848747968673706,YOLO,"[-4228.990144843991, -682.9153903762876, 3729.239570315]","[124.74121130935862, 674.2272015993318]",28.87032192537513,"[3503.454086995659, 877.5964066038222]",16.696398980083156,True
3,1064,178,402,0.8450319766998291,YOLO,1700,411,0.8322300314903259,YOLO,"[-4291.121172309169, -638.1324330734853, 4340.831457142449]","[361.6692441590815, 732.3935703399333]",27.54712600900259,"[3423.438174110667, 887.8034907447793]",19.35035345324181,True
4,1065,225,410,0.8399996161460876,YOLO,1657,417,0.8339241147041321,YOLO,"[-4154.451549912988, -610.0413902295803, 4522.5131254782]","[475.5762726250183, 751.9077278047047]",29.042717467278067,"[3348.2225423212467, 897.4211978187178]",21.05223458510299,True
5,1066,248,411,0.7354381203857725,BG/YOLO,1614,425,0.7578974962234497,YOLO,"[-3859.334869683139, -587.3040268184336, 4424.140281546958]","[550.9579972280042, 755.3542085215973]",32.23053837272723,"[3275.8181811175236, 907.3620050501273]",21.820642066687547,True
6,1067,311,425,0.7616109251976013,YOLO,1575,431,0.8032627701759338,YOLO,"[-4573.738448612302, -540.5308930861464, 5836.881597403241]","[695.5033879678608, 820.004569704687]",36.409977009609186,"[3236.8646238379793, 911.730370692867]",39.09842323518329,True
7,1068,353,434,0.835638165473938,YOLO,1575,423,0.4,LK,"[-5608.490899986116, -529.000722789049, 7502.253299075434]","[754.171011802788, 855.5860999177543]",29.952201666865363,"[3252.400509855522, 898.0097517971521]",57.21996735708589,True
8,1069,353,433,0.4,LK,1575,423,0.3,LK,"[-5573.3016621763445, -534.0876860946955, 7453.159748661207]","[753.8406157727984, 853.7389142554462]",29.57458686922833,"[3249.4926027611086, 896.7484267666752]",55.38599317509057,True
9,1070,425,451,0.8447237610816956,YOLO,1466,451,0.4872131645679474,YOLO,"[-7915.077800685099, -400.9803491624228, 11446.47271062542]","[845.5279015839182, 912.7277668197547]",0.17940710621976297,"[2927.837802683819, 894.6424923210114]",8.680719687424677,False
