Unnamed: 0,frame_no,A1_x,A1_y,A1_confidence,A1_method,A2_x,A2_y,A2_confidence,A2_method,position_3d_pixels,A1_reprojected_point,A1_error_cm,A2_reprojected_point,A2_error_cm,anomaly_detected
0,1021,795,468,0.8080763816833496,YOLO,1023,452,0.502068281173706,YOLO,"[-2159.4960656345684, -381.48799047905663, 8159.920654338907]","[1583.5660763216663, 929.6589640782382]",3.487876985024552,"[2046.3180273574226, 910.399730848448]",3.200612590885975,False
1,1022,813,462,0.4,LK,1008,447,0.4,LK,"[-1955.7010819671543, -438.3230344334163, 8045.004640137266]","[1620.8037223018323, 917.3651478962925]",3.477959240705816,"[2016.327737042456, 900.4843743398276]",3.1961485157893628,False
2,1023,832,458,0.8238793015480042,YOLO,993,443,0.3,LK,"[-1749.609998714933, -477.3899696727721, 7937.167924500846]","[1659.960891200063, 908.3627181444599]",3.84263278107045,"[1986.3935208732908, 893.2723011594869]",3.5411319721843006,False
5,1026,868,449,0.3,LK,946,432,0.6593547463417053,YOLO,"[-1339.0773376438613, -567.0481320883702, 7543.836239795038]","[1734.13061253562, 884.4809063671069]",6.269476454793958,"[1892.9755347721116, 876.1190643563108]",5.630973996938798,False
6,1027,896,442,0.6368238171141964,BG,949,433,0.7722839969901619,BG,"[-1110.8070347970727, -596.3983195773285, 7667.5940512573425]","[1790.5199102188976, 880.3239551600822]",1.7418813213393705,"[1898.296136176959, 869.6499325845925]",1.6394142975037094,False
7,1028,896,441,0.4,LK,948,433,0.4,LK,"[-1109.4124933313392, -600.8909757482807, 7656.425745477819]","[1790.4694918873356, 879.2106408848482]",1.324958859481573,"[1896.236341524617, 868.8373459735394]",1.2449031888734707,False
8,1029,956,430,0.7053769327831894,BG,948,433,0.3,LK,"[-591.4880685961017, -655.4976926416302, 7861.915186369926]","[1910.8390295906447, 871.4289990920407]",5.404690786991078,"[1895.174199542681, 854.9705134169528]",5.584422678085158,False
15,1036,1075,414,0.3,LK,774,406,0.620843231678009,YOLO,"[417.7744398285418, -773.6271999569165, 6543.961233094055]","[2151.139173447269, 816.0310053955087]",5.241755525931349,"[1550.6890629074164, 824.3031104967828]",4.743628731597885,False
18,1039,1211,404,0.4385858178138733,YOLO,751,403,0.3,LK,"[1533.1555207088288, -816.5526277642305, 7069.4098646252]","[2415.5508279619967, 820.3475119468608]",4.201910144506296,"[1500.638895319301, 796.1490866880044]",4.917988785511105,False
25,1046,1433,404,0.7972566485404968,YOLO,509,403,0.3878092169761657,YOLO,"[2793.0259240900177, -706.4660397936389, 5959.370985399124]","[2850.630518457129, 815.5110027559515]",0.4897115650642652,"[1012.5683076000873, 806.8130616747238]",0.5423991685529511,False
26,1047,1470,406,0.8151363134384155,YOLO,385,428,0.8061450660379307,BG,"[2103.5592879050737, -499.8494437374277, 3801.796320005698]","[2996.854998670721, 794.953435167879]",17.86615781264532,"[794.7335702144431, 871.0192651652936]",9.59431106529637,True
27,1048,1507,408,0.8276271820068359,YOLO,442,406,0.8168757557868958,YOLO,"[3243.8964028607456, -658.8781302403872, 5882.080289530958]","[2993.7125384122423, 825.8972012809365]",1.0556376647955834,"[872.615762684855, 812.1355497382062]",1.2342402928767924,False
28,1049,1545,410,0.8053542971611023,YOLO,441,406,0.4,LK,"[3978.3953693892677, -669.8209556791221, 6793.651279072938]","[3052.6609892676715, 847.2326220187931]",10.479005394162831,"[843.8638124784136, 784.7335019827956]",17.73535556668937,False
29,1050,1541,413,0.4,LK,373,410,0.6348319607336612,BG/YOLO,"[3438.4993584578547, -609.8631052070318, 5652.25706938699]","[3091.9451488901373, 832.4431480913453]",10.292636364289846,"[764.123557338208, 824.2129624374137]",11.597319778397095,False
30,1051,1541,413,0.3,LK,372,409,0.4,LK,"[3478.5416233187766, -614.9094639993366, 5712.693581900917]","[3092.9360717963227, 832.8535375910071]",10.738560424245016,"[763.8757877064925, 821.7069510695302]",12.370302783973983,False
31,1052,1666,421,0.8334436416625977,YOLO,311,437,0.658792560873543,BG,"[3188.7692315546715, -423.50938520580047, 4371.07428306689]","[3301.3159708025382, 849.9450710977869]",1.196190526210749,"[600.4036445274189, 881.9269719022143]",0.9427780582589422,False
32,1053,1710,426,0.6688954830169678,YOLO,310,437,0.4,LK,"[2835.200153593474, -380.8239647377992, 3681.987940266395]","[3371.2980118812166, 839.5474118078016]",6.736265178444418,"[591.0034579445714, 894.1776219825794]",4.089816675372739,False
33,1054,1755,432,0.8323338031768799,YOLO,207,430,0.8320464491844177,YOLO,"[4067.2357585049863, -417.0377114746661, 4924.599445139561]","[3467.8546181566617, 869.3489984975711]",2.913922480377884,"[389.8629115611753, 877.2034524692402]",3.1241834267908364,False
34,1055,1755,428,0.4,LK,161,436,0.8388252258300781,YOLO,"[4466.190015018098, -423.7819604346277, 5392.216312953268]","[3471.9396777380075, 879.0365362777565]",2.7421631032655585,"[306.60460285282755, 870.7309642438526]",3.616516095816562,False
35,1056,1795,434,0.7114959615650317,BG,113,442,0.4,LK,"[4601.484699170786, -375.9270712534605, 5291.742583003796]","[3543.2877602365834, 891.0420480208079]",2.1757311728188675,"[219.52059624278374, 886.7816180628813]",2.870215789390454,False
36,1057,1873,448,0.81476257810559,BG/YOLO,62,451,0.8557973504066467,YOLO,"[4611.452108170578, -282.28645552935103, 4875.534823684665]","[3675.0796130005065, 911.9361355020693]",1.0034435621572722,"[133.33829231753137, 919.5119814891848]",1.1762952707243919,False
37,1161,1763,372,0.8161921501159668,YOLO,117,288,0.8006155490875244,YOLO,"[4843.364204010861, -993.3297942429847, 5888.686244862981]","[3461.953251148039, 735.7975604549298]",11.621552358032211,"[206.02068716662757, 630.4004530568542]",19.47807766337015,False
38,1162,1713,375,0.7938171625137329,YOLO,116,288,0.4,LK,"[5043.898364458949, -992.5803535089365, 6476.136955703885]","[3386.5458577371023, 760.3092180807523]",2.36686074977617,"[228.79828514479823, 597.9223908879973]",4.860575534750213,False
39,1163,1667,378,0.6177759170532227,YOLO,116,288,0.3,LK,"[5269.3108057492655, -990.5729445455588, 7142.51799540848]","[3315.5229305497974, 783.4908523191265]",8.040779213823393,"[263.9664827810681, 550.8607377630891]",20.977303594642287,False
40,1164,1622,381,0.8009806871414185,YOLO,348,308,0.8567474484443665,YOLO,"[4514.396316592139, -1004.0565120120048, 6818.740975766603]","[3184.7579576466524, 769.876930961284]",13.8715908950264,"[617.6517436496313, 625.8741345257791]",27.221555230558447,True
