frame_no,A1_x,A1_y,A1_confidence,A1_method,A2_x,A2_y,A2_confidence,A2_method,position_3d_pixels,A1_reprojected_point,A1_error_cm,A2_reprojected_point,A2_error_cm,anomaly_detected,position_3d_pixels_smooth
1161,1763,372,0.8161921501159668,YOLO,117,288,0.8006155490875244,YOLO,"[4843.364204010861, -993.3297942429847, 5888.686244862982]","[3461.9532511480393, 735.7975604549298]",11.621552358032115,"[206.02068716662785, 630.4004530568541]",19.47807766337006,False,"[4843.364204010861, -993.3297942429847, 5971.429077090293]"
1162,1713,375,0.7938171625137329,YOLO,116,288,0.4,LK,"[5043.89836445895, -992.5803535089366, 6476.136955703883]","[3386.545857737103, 760.3092180807522]",2.366860749776093,"[228.79828514479746, 597.9223908879972]",4.860575534750361,False,"[5043.89836445895, -992.5803535089366, 6440.573268546848]"
1163,1667,378,0.6177759170532227,YOLO,116,288,0.3,LK,"[5269.310805749267, -990.5729445455588, 7142.517995408481]","[3315.5229305497974, 783.4908523191264]",8.040779213823356,"[263.966482781067, 550.8607377630889]",20.977303594642063,False,"[5269.310805749267, -990.5729445455588, 6830.166680063365]"
1164,1622,381,0.8009806871414185,YOLO,348,308,0.8567474484443665,YOLO,"[4514.396316592137, -1004.0565120120051, 6818.740975766603]","[3184.757957646652, 769.8769309612838]",13.871590895026596,"[617.651743649632, 625.8741345257794]",27.221555230558177,True,"[4514.396316592137, -1004.0565120120051, 7140.209311639848]"
1165,1578,385,0.8378750681877136,YOLO,414,313,0.8341430425643921,YOLO,"[4536.591925511185, -998.5247143216567, 7346.50389066452]","[3107.8000853195213, 787.8924029240441]",11.850985405750816,"[761.9724951442553, 611.9361608539745]",26.39945279044044,False,"[4536.591925511185, -998.5247143216567, 7217.740469077149]"
1166,1540,388,0.5955636501312256,YOLO,471,319,0.519464910030365,YOLO,"[4413.786667988621, -994.9101576268422, 7603.675084014089]","[3043.807249355211, 795.9570076876108]",8.814204979074551,"[899.8639272303652, 616.0821885708261]",20.1097871020316,False,"[4413.786667988621, -994.9101576268422, 7706.1421666372225]"
1167,1539,388,0.4,LK,471,319,0.4,LK,"[4400.959616322338, -995.561835089546, 7591.493115897779]","[3042.4972535669535, 795.4866992899874]",8.441339740219238,"[901.5247464277377, 617.1707405298207]",19.13138242958056,False,"[4400.959616322338, -995.561835089546, 7948.716892557192]"
1168,1539,388,0.3,LK,584,334,0.8516761660575867,YOLO,"[5053.491513731999, -968.8691004021462, 8818.61658261343]","[3030.9649385555012, 829.3125264361317]",27.700111971386317,"[1061.9981684329207, 509.20202523899496]",105.96807070315911,True,"[5053.491513731999, -968.8691004021462, 7594.906003236595]"
1170,1400,404,0.7307498455047607,YOLO,548,329,0.4,LK,"[3068.34478662431, -982.3424511647695, 6825.879406207043]","[2817.5224808510025, 775.1794561012489]",20.461129496532287,"[1134.9469939774217, 710.9931936376686]",28.40154204463877,True,"[3068.34478662431, -982.3424511647695, 7577.117140315341]"
1171,1399,404,0.4,LK,548,329,0.3,LK,"[3057.416812041333, -982.8928569407036, 6815.407503215112]","[2815.9454194420505, 774.6994902171873]",20.676495243310228,"[1135.2600315846428, 711.3794898084359]",28.570662677671898,True,"[3057.416812041333, -982.8928569407036, 7608.811550416277]"
1172,1399,404,0.3,LK,761,359,0.7907808423042297,YOLO,"[3698.1611984844085, -923.7381223271938, 8652.882561656605]","[2779.2928301521288, 834.259308916788]",11.237501519978249,"[1508.591833625098, 671.2637548667011]",27.24138738681348,False,"[3698.1611984844085, -923.7381223271938, 7550.858169737611]"
