frame_no,A1_x,A1_y,A1_confidence,A1_method,A2_x,A2_y,A2_confidence,A2_method,position_3d,position_3d_meters,A1_reprojected_point,A1_error_cm,A2_reprojected_point,A2_error_cm,anomaly_detected
934,1803,407,0.8137478828430176,YOLO,210,422,0.834425151348114,YOLO,"[3748.3495057446603, -489.8600736323993, 4286.859981600735]","[3.74834950574466, -0.4898600736323993, 4.286859981600736]","[3551.6188659379995, 822.3109223279512]",2.6479378462650676,"[396.0710013554253, 858.9940849055374]",2.2297123378325963,False
935,1749,415,0.8137804269790649,YOLO,255,428,0.8181137442588806,YOLO,"[3491.8044435369134, -456.8706049838061, 4269.054799920352]","[3.4918044435369135, -0.4568706049838061, 4.269054799920352]","[3454.0872424646295, 833.839275380029]",3.1510884075003345,"[484.3695718286685, 870.7504879470371]",2.5305065896144474,False
936,1698,422,0.8305724263191223,YOLO,297,435,0.5949259400367737,YOLO,"[3180.696395936944, -416.8508687861153, 4172.307555379583]","[3.1806963959369443, -0.4168508687861153, 4.172307555379583]","[3358.021697409871, 845.1437835543601]",3.37505286003153,"[568.9181872174538, 883.7010581384234]",2.5078500149828393,False
937,1648,432,0.8564746975898743,YOLO,297,435,0.4,LK,"[3830.540950410358, -433.3902190764089, 5382.76462145425]","[3.830540950410358, -0.4333902190764089, 5.38276462145425]","[3270.413001279244, 875.979149815587]",0.4252205801673289,"[574.026789475392, 873.9159351645243]",0.49393184059662054,False
939,1556,450,0.7640290260314941,YOLO,414,455,0.8096304535865784,YOLO,"[4318.917969261239, -375.6324822078664, 7134.107790180171]","[4.318917969261239, -0.37563248220786644, 7.134107790180171]","[3086.846526035086, 920.2759911232957]",5.9090206406435195,"[805.0513440083718, 890.3180059659129]",11.649347679041897,True
940,1514,458,0.8214071393013,YOLO,413,455,0.4,LK,"[2768.4606717047977, -279.3773178234162, 4910.381976871662]","[2.7684606717047977, -0.2793773178234162, 4.910381976871662]","[3014.981271278522, 913.5313320813942]",3.01162980649342,"[817.6937947072955, 921.2653031837593]",2.5404716569085464,False
942,1436,476,0.8206537961959839,YOLO,514,476,0.79883873462677,YOLO,"[2894.122122527153, -176.7744640552885, 6113.604914235613]","[2.8941221225271527, -0.1767744640552885, 6.113604914235613]","[2858.772884108416, 958.0172350191485]",0.5205813390930316,"[1022.7643084520809, 953.2941307993563]",0.6093924923168977,False
943,1400,484,0.8338354229927063,YOLO,543,483,0.7777970433235168,YOLO,"[2635.93317029273, -119.09046065324694, 6090.740320192403]","[2.63593317029273, -0.11909046065324694, 6.090740320192403]","[2788.599778193947, 972.9022428663355]",0.4148066435311834,"[1082.1603813754607, 967.3915405325218]",0.4630642915275768,False
944,1399,483,0.4,LK,543,483,0.4,LK,"[2622.8958398765467, -122.54145321293056, 6076.214708898769]","[2.6228958398765467, -0.12254145321293056, 6.076214708898768]","[2786.6800666279596, 971.9249417029641]",0.7927196070863254,"[1082.2001100608488, 966.2956339376163]",0.8801881738372934,False
952,1131,564,0.8264473676681519,YOLO,762,547,0.4315250217914581,YOLO,"[851.6810333783816, 516.9963155941264, 6692.026584037969]","[0.8516810333783816, 0.5169963155941264, 6.6920265840379685]","[2260.730276595967, 1126.8178010887377]",0.578835702776612,"[1523.585216528985, 1096.0640383538846]",0.5682571484324777,False
953,1107,574,0.6556553840637207,YOLO,783,555,0.7575655579566956,YOLO,"[676.8753450106278, 608.2058793759084, 6793.444318536996]","[0.6768753450106278, 0.6082058793759083, 6.793444318536997]","[2212.9876224184827, 1146.3303117428532]",0.8131537508076767,"[1565.4910962508466, 1112.4728263802053]",0.7964452978863943,False
954,1106,573,0.4,LK,783,554,0.4,LK,"[668.6164936601313, 599.4758995449811, 6788.111501575219]","[0.6686164936601312, 0.599475899544981, 6.788111501575219]","[2211.0206743466556, 1144.397414395635]",0.7803693527394261,"[1565.5167529052815, 1110.3902388463282]",0.7627564863368534,False
973,799,603,0.3795808255672455,YOLO,1021,571,0.4,LK,"[-2136.2783856520446, 1048.098971899415, 8164.122978535552]","[-2.1362783856520444, 1.048098971899415, 8.164122978535552]","[1588.7151796459946, 1208.0984098086788]",1.2390828212574483,"[2042.1381236668688, 1144.702406597038]",1.1340179974653146,False
984,706,554,0.7988101840019226,YOLO,1098,525,0.4,LK,"[-3290.548299233487, 568.1896435380648, 8808.698731273118]","[-3.2905482992334867, 0.5681896435380649, 8.808698731273118]","[1395.3875302788938, 1106.542870209449]",3.327312449702287,"[2196.6869526533847, 1055.9999973843003]",3.0285654305495116,False
1011,631,528,0.4213351011276245,YOLO,1162,497,0.4,LK,"[-4396.906373317711, 268.63170301493346, 9442.892310503543]","[-4.3969063733177105, 0.26863170301493344, 9.442892310503543]","[1236.2977098537551, 1049.218658304987]",7.0322924198925945,"[2325.8587115080286, 1005.5344692264996]",6.382144301721809,False
1021,795,468,0.8080763816833496,YOLO,1023,452,0.502068281173706,YOLO,"[-2159.4960656345684, -381.48799047905663, 8159.920654338907]","[-2.1594960656345683, -0.3814879904790566, 8.159920654338908]","[1583.5660763216663, 929.6589640782382]",3.487876985024552,"[2046.3180273574226, 910.399730848448]",3.200612590885975,False
1022,813,462,0.4,LK,1008,447,0.4,LK,"[-1955.7010819671543, -438.3230344334163, 8045.004640137266]","[-1.9557010819671543, -0.4383230344334163, 8.045004640137266]","[1620.8037223018323, 917.3651478962925]",3.477959240705816,"[2016.327737042456, 900.4843743398276]",3.1961485157893628,False
1036,1099,413,0.4,LK,774,406,0.620843231678009,YOLO,"[606.6019413485216, -777.3391674175839, 6668.721638021149]","[0.6066019413485215, -0.7773391674175839, 6.668721638021149]","[2197.9998651946894, 818.6624045999055]",3.5335385662536427,"[1550.0850681278325, 820.8307949064492]",3.358848199168694,False
1046,1433,404,0.7972566485404968,YOLO,509,403,0.3878092169761657,YOLO,"[2793.0259240900177, -706.4660397936389, 5959.370985399124]","[2.793025924090018, -0.7064660397936389, 5.959370985399124]","[2850.630518457129, 815.5110027559515]",0.4897115650642652,"[1012.5683076000873, 806.8130616747238]",0.5423991685529511,False
1047,1470,406,0.8151363134384155,YOLO,476,403,0.6090859174728394,YOLO,"[3030.332692413971, -688.0674726913475, 5935.016672616782]","[3.030332692413971, -0.6880674726913475, 5.935016672616782]","[2923.0396084027057, 819.6662804894268]",0.29398331311476805,"[944.7798108899201, 807.5354525503278]",0.33604290433720185,False
1048,1507,408,0.8276271820068359,YOLO,442,406,0.8168757557868958,YOLO,"[3243.8964028607456, -658.8781302403872, 5882.080289530958]","[3.2438964028607455, -0.6588781302403872, 5.882080289530958]","[2993.7125384122423, 825.8972012809365]",1.0556376647955834,"[872.615762684855, 812.1355497382062]",1.2342402928767924,False
1049,1545,410,0.8053542971611023,YOLO,409,409,0.3722479939460754,YOLO,"[3464.117485394492, -631.1078881036784, 5853.812746718033]","[3.464117485394492, -0.6311078881036785, 5.853812746718033]","[3063.315278229768, 832.5796341659034]",2.7160949359723414,"[798.6604624799513, 816.3696464987519]",3.282455876073868,False
1050,1541,413,0.4,LK,371,411,0.6587879657745361,YOLO,"[3442.135661374316, -606.3521062228482, 5647.674968157556]","[3.442135661374316, -0.6063521062228482, 5.647674968157555]","[3093.910424890156, 833.292364683971]",10.944703111503374,"[762.0260196244093, 825.2244757973481]",12.319916958334781,True
1054,1755,432,0.8323338031768799,YOLO,207,430,0.8320464491844177,YOLO,"[4067.2357585049863, -417.0377114746661, 4924.599445139561]","[4.067235758504986, -0.41703771147466606, 4.9245994451395605]","[3467.8546181566617, 869.3489984975711]",2.913922480377884,"[389.8629115611753, 877.2034524692402]",3.1241834267908364,False
1055,1755,428,0.4,LK,161,436,0.8388252258300781,YOLO,"[4466.190015018098, -423.7819604346277, 5392.216312953268]","[4.466190015018098, -0.4237819604346277, 5.392216312953268]","[3471.9396777380075, 879.0365362777565]",2.7421631032655585,"[306.60460285282755, 870.7309642438526]",3.616516095816562,False
1057,1896,452,0.8210070133209229,YOLO,62,451,0.8557973504066467,YOLO,"[4548.338437913855, -263.36984953764465, 4703.88660658139]","[4.548338437913855, -0.26336984953764464, 4.70388660658139]","[3711.5315199701367, 914.970817326836]",2.637934014112172,"[132.93550461767126, 925.4825340027148]",2.901648056707543,False
1161,1763,372,0.8161921501159668,YOLO,117,288,0.8006155490875244,YOLO,"[4843.364204010861, -993.3297942429847, 5888.686244862981]","[4.843364204010861, -0.9933297942429847, 5.88868624486298]","[3461.953251148039, 735.7975604549298]",11.621552358032211,"[206.02068716662757, 630.4004530568542]",19.47807766337015,True
1162,1713,375,0.7938171625137329,YOLO,116,288,0.4,LK,"[5043.898364458949, -992.5803535089365, 6476.136955703885]","[5.043898364458949, -0.9925803535089365, 6.476136955703885]","[3386.5458577371023, 760.3092180807523]",2.36686074977617,"[228.79828514479823, 597.9223908879973]",4.860575534750213,False
1164,1622,381,0.8009806871414185,YOLO,348,308,0.8567474484443665,YOLO,"[4514.396316592139, -1004.0565120120048, 6818.740975766603]","[4.514396316592139, -1.0040565120120049, 6.818740975766603]","[3184.7579576466524, 769.876930961284]",13.8715908950264,"[617.6517436496313, 625.8741345257791]",27.221555230558447,True
1165,1578,385,0.8378750681877136,YOLO,414,313,0.8341430425643921,YOLO,"[4536.591925511181, -998.5247143216567, 7346.503890664518]","[4.536591925511181, -0.9985247143216567, 7.3465038906645175]","[3107.800085319521, 787.892402924044]",11.850985405750992,"[761.9724951442562, 611.9361608539749]",26.399452790439973,True
1166,1540,388,0.5955636501312256,YOLO,471,319,0.519464910030365,YOLO,"[4413.78666798862, -994.9101576268417, 7603.675084014088]","[4.41378666798862, -0.9949101576268418, 7.603675084014087]","[3043.807249355211, 795.9570076876108]",8.81420497907455,"[899.8639272303649, 616.0821885708262]",20.109787102031703,True
1167,1539,388,0.4,LK,471,319,0.4,LK,"[4400.959616322335, -995.561835089545, 7591.493115897775]","[4.400959616322335, -0.995561835089545, 7.591493115897775]","[3042.497253566953, 795.4866992899875]",8.441339740219435,"[901.524746427738, 617.1707405298216]",19.131382429580174,True
1170,1400,404,0.7307498455047607,YOLO,548,329,0.4,LK,"[3068.34478662431, -982.3424511647693, 6825.879406207042]","[3.06834478662431, -0.9823424511647693, 6.825879406207042]","[2817.522480851003, 775.179456101249]",20.46112949653237,"[1134.9469939774215, 710.9931936376688]",28.401542044638784,True
1173,1312,417,0.4420719146728515,YOLO,761,358,0.4,LK,"[2674.4212397231577, -898.248087589491, 7995.808638216783]","[2.6744212397231575, -0.8982480875894909, 7.995808638216783]","[2618.7548491680996, 825.3798571202515]",6.302736321660374,"[1528.9751284618296, 737.6606126662659]",10.640563949154991,True
1176,1234,430,0.4493336379528045,YOLO,909,388,0.8134254813194275,YOLO,"[2129.1780717381303, -789.0094699078777, 8712.614189785985]","[2.12917807173813, -0.7890094699078777, 8.712614189785985]","[2463.078404642292, 860.0085766473037]",1.2798146016614815,"[1818.9222896215613, 780.7621075267565]",2.258109867988467,False
1177,1211,435,0.4522290229797363,YOLO,887,392,0.4,LK,"[1844.0176155580648, -751.5630219810787, 8422.255961916668]","[1.8440176155580648, -0.7515630219810787, 8.422255961916667]","[2419.1343980809224, 862.1137379313607]",5.123481175542359,"[1776.8261754369971, 799.9010355474069]",8.142065590914632,True
